text,label
What is the weather in London today?,0
Show me the stock price of Apple,0
Who won the cricket match yesterday?,0
Calculate the total sales for Q1,0
Where is the nearest hospital?,0
What is the capital of France?,0
How do I install python?,0
Explain the theory of relativity,0
What is the time now?,0
Show me the results for the math exam,0
Is it going to rain tomorrow?,0
Who is the president of the USA?,0
Display the graph for user growth,0
How many calories in an apple?,0
Complete the transaction now,0
Show result,1
Predict next,1
What is it?,1
Tell me more,1
How much?,1
Is it safe?,1
When will it arrive?,1
Show me,1
Display graph,1
Analysis please,1
Update status,1
Check value,1
Print report,1
Why did it fail?,1
Who won?,1
Is it ready?,1
Give me the answer,1
Calculate it,1
What is the price?,1
Book a flight to New York,0
What is the price of the iPhone 15?,0
Cancel my Netflix subscription,0
Check the status of order #12345,0
My internet connection is not working,0
I need help with my Python homework,0
Show me details of the error message,0
Login failed for user admin,0
Where is the nearest ATM machine?,0
Who is the CEO of Google?,0
Why is the server down today?,0
Send a message to John saying hello,0
Play the latest song by Taylor Swift,0
Remind me to call mom at 5 PM,0
How do I reset my password?,0
What is the distance between Earth and Moon?,0
Who directed the movie Inception?,0
Open the settings menu,0
Turn on the living room lights,0
Increase the volume to 50%,0
Book it,1
Price?,1
Cancel,1
Status,1
Not working,1
Help me,1
Details please,1
Login failed,1
Where?,1
Who?,1
Why?,1
Send message,1
Play song,1
Remind me,1
Reset password,1
How far?,1
Who directed?,1
Open settings,1
Turn on,1
Volume up,1
It is broken,1
Fix it,1
I need it,1
Do it now,1
What happened?,1